Customer ID,Age,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Satisfaction Level
101,29,Gold,1120.2,14,4.6,TRUE,Satisfied
102,34,Silver,780.5,11,4.1,FALSE,Neutral
103,43,Bronze,510.75,9,3.4,TRUE,Unsatisfied
104,30,Gold,1480.3,19,4.7,FALSE,Satisfied
105,27,Silver,720.4,13,4,TRUE,Unsatisfied
106,37,Bronze,440.8,8,3.1,FALSE,Neutral
107,31,Gold,1150.6,15,4.5,TRUE,Satisfied
108,35,Silver,800.9,12,4.2,FALSE,Neutral
109,41,Bronze,495.25,10,3.6,TRUE,Unsatisfied
110,28,Gold,1520.1,21,4.8,FALSE,Satisfied
111,32,Silver,690.3,11,3.8,TRUE,Unsatisfied
112,36,Bronze,470.5,7,3.2,FALSE,Neutral
113,30,Gold,1200.8,16,4.3,TRUE,Satisfied
114,33,Silver,820.75,13,4.4,FALSE,Satisfied
115,42,Bronze,530.4,9,3.5,TRUE,Unsatisfied
116,29,gold,1360.2,18,4.9,FALSE,Satisfied
117,26,Silver,700.6,12,3.7,TRUE,Unsatisfied
118,38,Bronze,450.9,8,3,FALSE,Neutral
119,32,Gold,1170.3,14,4.7,TRUE,Satisfied
120,34,Silver,790.2,11,4,FALSE,Neutral
121,43,Bronze,505.75,10,3.3,TRUE,Unsatisfied
122,30,Gold,1470.5,20,4.8,FALSE,Satisfied
123,27,Silver,710.4,13,4.1,TRUE,Unsatisfied
124,37,Bronze,430.8,7,3.4,FALSE,Neutral
125,31,Gold,1140.6,15,4.6,TRUE,Satisfied
126,35,Silver,810.9,12,4.3,FALSE,Neutral
127,41,Bronze,485.25,9,3.6,TRUE,Unsatisfied
128,28,gold,1500.1,21,4.9,FALSE,Satisfied
129,32,Silver,670.3,10,3.8,TRUE,Unsatisfied
130,36,Bronze,460.5,8,3.1,FALSE,Neutral
131,30,Gold,1190.8,16,4.5,TRUE,Satisfied
132,33,Silver,830.75,13,4.2,FALSE,Satisfied
133,42,Bronze,520.4,9,3.5,TRUE,Unsatisfied
134,29,Gold,1370.2,18,4.7,FALSE,Satisfied
135,26,Silver,690.6,12,3.9,TRUE,Unsatisfied
136,38,Bronze,440.9,8,3.2,FALSE,Neutral
137,32,Gold,1160.3,14,4.4,TRUE,Satisfied
138,34,Silver,800.2,11,4.1,FALSE,Neutral
139,43,Bronze,500.75,10,3.3,TRUE,Unsatisfied
140,30,Gold,1460.5,20,4.8,FALSE,Satisfied
141,27,Silver,700.4,13,4,TRUE,Unsatisfied
142,37,Bronze,420.8,7,3.1,FALSE,Neutral
143,31,Gold,1130.6,15,4.5,TRUE,Satisfied
144,35,Silver,820.9,12,4.3,FALSE,Neutral
145,41,Bronze,480.25,9,3.6,TRUE,Unsatisfied
146,28,Gold,1490.1,21,4.9,FALSE,Satisfied
147,32,Silver,680.3,10,3.8,TRUE,Unsatisfied
148,36,Bronze,470.5,8,3,FALSE,Neutral
149,30,Gold,1180.8,16,4.7,TRUE,Satisfied
150,34,Silver,790.2,11,4,FALSE,Neutral
151,43,Bronze,505.75,10,3.3,TRUE,Unsatisfied
152,30,Gold,1470.5,20,4.8,FALSE,Satisfied
153,27,Silver,710.4,13,4.1,TRUE,Unsatisfied
154,37,Bronze,430.8,7,3.4,FALSE,Neutral
155,31,Gold,1140.6,15,4.6,TRUE,Satisfied
156,35,Silver,810.9,12,4.3,FALSE,Neutral
157,41,Bronze,485.25,9,3.6,TRUE,Unsatisfied
158,28,gold,1500.1,21,4.9,FALSE,Satisfied
159,32,Silver,670.3,10,3.8,TRUE,Unsatisfied
160,36,Bronze,460.5,8,3.1,FALSE,Neutral
161,30,Gold,1190.8,16,4.5,TRUE,Satisfied
162,33,Silver,830.75,13,4.2,FALSE,Satisfied
163,42,Bronze,520.4,9,3.5,TRUE,Unsatisfied
164,29,Gold,1370.2,18,4.7,FALSE,Satisfied
165,26,Silver,690.6,12,3.9,TRUE,Unsatisfied
166,38,Bronze,440.9,8,3.2,FALSE,Neutral
167,32,Gold,1160.3,14,4.4,TRUE,Satisfied
168,34,Silver,800.2,11,4.1,FALSE,Neutral
169,43,Bronze,500.75,10,3.3,TRUE,Unsatisfied
170,30,Gold,1460.5,20,4.8,FALSE,Satisfied
171,27,Silver,700.4,13,4,TRUE,Unsatisfied
172,37,Bronze,420.8,7,3.1,FALSE,
173,31,Gold,1130.6,15,4.5,TRUE,Satisfied
174,35,Silver,820.9,12,4.3,FALSE,Neutral
175,41,Bronze,480.25,9,3.6,TRUE,Unsatisfied
176,28,Gold,1490.1,21,4.9,FALSE,Satisfied
177,32,Silver,680.3,10,3.8,TRUE,Unsatisfied
178,36,Bronze,470.5,8,3,FALSE,Neutral
179,30,Gold,1180.8,16,4.7,TRUE,Satisfied
180,34,Silver,790.2,11,4,FALSE,Neutral
181,43,Bronze,505.75,10,3.3,TRUE,Unsatisfied
182,30,Gold,1470.5,20,4.8,FALSE,Satisfied
183,27,Silver,710.4,13,4.1,TRUE,Unsatisfied
184,37,Bronze,430.8,7,3.4,FALSE,Neutral
185,31,Gold,1140.6,15,4.6,TRUE,Satisfied
186,35,Silver,810.9,12,4.3,FALSE,Neutral
187,41,Bronze,485.25,9,3.6,TRUE,Unsatisfied
188,28,Gold,1500.1,21,4.9,FALSE,Satisfied
189,32,Silver,670.3,10,3.8,TRUE,Unsatisfied
190,36,Bronze,460.5,8,3.1,FALSE,Neutral
191,30,Gold,1190.8,16,4.5,TRUE,Satisfied
192,33,Silver,830.75,13,4.2,FALSE,Satisfied
193,42,Bronze,520.4,9,3.5,TRUE,Unsatisfied
194,29,Gold,1370.2,18,4.7,FALSE,Satisfied
195,26,Silver,690.6,12,3.9,TRUE,Unsatisfied
196,38,Bronze,440.9,8,3.2,FALSE,Neutral
197,32,Gold,1160.3,14,4.4,TRUE,Satisfied
198,34,Silver,800.2,11,4.1,FALSE,Neutral
199,43,Bronze,500.75,10,3.3,TRUE,Unsatisfied
200,30,Gold,1460.5,20,4.8,FALSE,Satisfied
201,27,Silver,700.4,13,4,TRUE,Unsatisfied
202,37,Bronze,420.8,7,3.1,FALSE,Neutral
203,31,Gold,1130.6,15,4.5,TRUE,Satisfied
204,35,Silver,820.9,12,4.3,FALSE,Neutral
205,41,Bronze,480.25,9,3.6,TRUE,Unsatisfied
206,28,Gold,1490.1,21,4.9,FALSE,Satisfied
207,32,Silver,680.3,10,3.8,TRUE,Unsatisfied
208,36,Bronze,470.5,8,3,FALSE,Neutral
209,30,Gold,1180.8,16,4.7,TRUE,Satisfied
210,34,Silver,790.2,11,4,FALSE,Neutral
211,43,Bronze,505.75,10,3.3,TRUE,Unsatisfied
212,30,Gold,1470.5,20,4.8,FALSE,Satisfied
213,27,Silver,710.4,13,4.1,TRUE,Unsatisfied
214,37,Bronze,430.8,7,3.4,FALSE,Neutral
215,31,Gold,1140.6,15,4.6,TRUE,Satisfied
216,35,Silver,810.9,12,4.3,FALSE,Neutral
217,41,Bronze,485.25,9,3.6,TRUE,Unsatisfied
218,28,Gold,1500.1,21,4.9,FALSE,Satisfied
219,32,Silver,670.3,10,3.8,TRUE,Unsatisfied
220,36,Bronze,460.5,8,3.1,FALSE,Neutral
221,30,Gold,1190.8,16,4.5,TRUE,Satisfied
222,33,Silver,830.75,13,4.2,FALSE,Satisfied
223,42,Bronze,520.4,9,3.5,TRUE,Unsatisfied
224,29,Gold,1370.2,18,4.7,FALSE,Satisfied
225,26,Silver,690.6,12,3.9,TRUE,Unsatisfied
226,38,Bronze,440.9,8,3.2,FALSE,Neutral
227,32,Gold,1160.3,14,4.4,TRUE,Satisfied
228,34,Silver,800.2,11,4.1,FALSE,Neutral
229,43,Bronze,500.75,10,3.3,TRUE,Unsatisfied
230,30,Gold,1460.5,20,4.8,FALSE,Satisfied
231,27,Silver,700.4,13,4,TRUE,Unsatisfied
232,37,Bronze,420.8,7,3.1,FALSE,Neutral
233,31,Gold,1130.6,15,4.5,TRUE,Satisfied
234,35,Silver,820.9,12,4.3,FALSE,Neutral
235,41,Bronze,480.25,9,3.6,TRUE,Unsatisfied
